kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
P38G	CMGC	1	29	331	6188	0.644650484425461	-0.6334109204857541	0.797139568537076	1.0000000000188458	0.09846563275840385	8.184632939547247e-12
ZAK	TKL	1	29	331	6188	0.644650484425461	-0.6334109204857541	0.797139568537076	1.0000000000188458	0.09846563275840385	8.184632939547247e-12
MLK4	TKL	1	29	332	6188	0.6427087660988783	-0.6377629450254613	0.7981392206168035	1.0000000000188458	0.09792134740611923	8.184632939547247e-12
TBK1	Other	1	29	332	6188	0.6427087660988783	-0.6377629450254613	0.7981392206168035	1.0000000000188458	0.09792134740611923	8.184632939547247e-12
GCN2	Other	1	29	336	6188	0.6350574712643678	-0.6550409364572967	0.8020904766739261	1.0000000000188458	0.09577664006500368	8.184632939547247e-12
ERK1	CMGC	1	29	338	6188	0.6312997347480106	-0.6636029499607208	0.804037996634159	1.0000000000188458	0.0947234271985304	8.184632939547247e-12
MINK	STE	1	29	338	6188	0.6312997347480106	-0.6636029499607208	0.804037996634159	1.0000000000188458	0.0947234271985304	8.184632939547247e-12
ULK2	Other	1	29	340	6188	0.6275862068965518	-0.6721144498162381	0.8059670066700686	1.0000000000188458	0.09368273625248937	8.184632939547247e-12
DYRK1A	CMGC	1	29	341	6188	0.6257457781373243	-0.6763514427027087	0.8069246235331028	1.0000000000188458	0.09316703171230364	8.184632939547247e-12
TTBK2	CK1	1	29	342	6188	0.6239161121193789	-0.6805760285644343	0.8078776764620053	1.0000000000188458	0.09265439226901773	8.184632939547247e-12
CHAK2	Alpha	1	29	344	6188	0.6202886928628709	-0.6889882683806344	0.8097701742426436	1.0000000000188458	0.09163822336951127	8.184632939547247e-12
STLK3	STE	2	29	633	6188	0.6741842348967696	-0.5687852031068779	0.8116926829712573	1.0000000000188458	0.09060836897625997	8.184632939547247e-12
HIPK2	CMGC	1	29	349	6188	0.6114020353719988	-0.7098067398881888	0.8144230065374364	1.0000000000188458	0.08914996650150966	8.184632939547247e-12
RIPK3	TKL	1	29	358	6188	0.5960315931419765	-0.7465392909427928	0.8225226620057189	1.0000000000188458	0.08485212760479784	8.184632939547247e-12
P38A	CMGC	1	29	360	6188	0.5927203065134099	-0.7545766100082113	0.8242756631303749	1.0000000000188458	0.08392752258043239	8.184632939547247e-12
JNK2	CMGC	1	29	362	6188	0.5894456086873691	-0.7625694007617417	0.8260119406582707	1.0000000000188458	0.08301367456277164	8.184632939547247e-12
CDK7	CMGC	1	29	368	6188	0.5798350824587707	-0.786285469735549	0.831121963862119	1.0000000000188458	0.08033524054118331	8.184632939547247e-12
RIPK2	TKL	1	29	370	6188	0.5767008387698043	-0.7941049741948487	0.832792872414487	1.0000000000188458	0.0794630004575396	8.184632939547247e-12
GRK7	AGC	1	29	372	6188	0.5736002966258806	-0.8018823247865678	0.8344478133396316	1.0000000000188458	0.07860081906541909	8.184632939547247e-12
MLK1	TKL	1	29	375	6188	0.5690114942528736	-0.8134702990617796	0.8369006070325705	1.0000000000188458	0.07732611713272299	8.184632939547247e-12
PLK1	Other	1	29	378	6188	0.5644955300127714	-0.8249659378996091	0.839318295702954	1.0000000000188458	0.0760733099069907	8.184632939547247e-12
DYRK2	CMGC	1	29	386	6188	0.5527961407897087	-0.8551805509466169	0.8455975068706262	1.0000000000188458	0.07283630615702312	8.184632939547247e-12
CK1D	CK1	1	29	407	6188	0.5242734897907312	-0.9316084979447834	0.8609738664006205	1.0000000000188458	0.06501003071853162	8.184632939547247e-12
