kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
PAK3	STE	62	1982	103	4155	1.2618909995787329	0.3355872976748755	0.08406483514934268	0.2625942788685653	1.0753856343366692	0.5807147401006091
DRAK1	CAMK	104	1982	185	4155	1.178498377287479	0.23694977209599857	0.09587418003528865	0.2964273117417598	1.018298337334199	0.5280817845243889
WNK4	Other	81	1982	141	4155	1.2042961118148443	0.26819016495704995	0.09987249960681847	0.30567037758450505	1.000554080474493	0.5147466465697379
DNAPK	PIKK	144	1982	265	4155	1.139158083125488	0.1879679664629696	0.10639147718581014	0.3223661758730047	0.9730931611333147	0.4916505326310097
NIK	STE	14	1982	18	4155	1.6305079044735957	0.7053214350865105	0.11651609938375794	0.3455860937156188	0.9336140627026691	0.46144374172578667
ERK1	CMGC	123	1982	225	4155	1.1460141271442987	0.19662482859342156	0.11683654961764635	0.3455860937156188	0.9324212769650301	0.46144374172578667
ATM	PIKK	126	1982	231	4155	1.1434730758645997	0.19342239655507773	0.11747646090002883	0.3455860937156188	0.9300491455229195	0.46144374172578667
PKN2	AGC	37	1982	60	4155	1.2927598385469223	0.37045428449164997	0.12938007919852398	0.3738299450721622	0.8881325873470886	0.42732591307298556
RAF1	TKL	108	1982	197	4155	1.1492775077217803	0.20072719717831095	0.12954503047055127	0.3738299450721622	0.8875792425053525	0.42732591307298556
ERK2	CMGC	124	1982	230	4155	1.1302154170139955	0.17659777391371867	0.14159609490473568	0.4047511014729709	0.8489487239394061	0.39281196070187135
PDHK4	PDHK	156	1982	294	4155	1.1123581622356309	0.15362138849710263	0.14360659384258673	0.40484122586898	0.8428256185637407	0.39271526875776214
MEK5	STE	72	1982	128	4155	1.1792066094853684	0.23781651591353112	0.1442998428839929	0.40484122586898	0.8407341417731174	0.39271526875776214
MST4	STE	65	1982	115	4155	1.1849032597727374	0.24476927655529812	0.151556194770566	0.4212984129860688	0.8194263074013448	0.37541017683966343
WNK1	Other	61	1982	108	4155	1.184059311582016	0.24374134987063645	0.16160369077213552	0.4451447118541551	0.7915487248506119	0.3514987815065319
LATS2	AGC	98	1982	181	4155	1.1350497014567573	0.18275547150322166	0.1661524148921101	0.45355118659738164	0.7794933422173723	0.3433736925017247
TTBK1	CK1	142	1982	271	4155	1.0984655255230655	0.13548959262202923	0.18787830599985744	0.5082779171246143	0.7261233642766902	0.2938987584445668
CK1A2	CK1	93	1982	174	4155	1.1204721806604268	0.16410682973052199	0.20013269530308012	0.5330613696233456	0.6986819556926999	0.2732227891826034
NIM1	CAMK	99	1982	186	4155	1.115808404674327	0.158089323442797	0.20055774302660526	0.5330613696233456	0.6977605663484359	0.2732227891826034
PAK2	STE	65	1982	119	4155	1.1450745787719732	0.19544156419172992	0.2074170388260658	0.546498806646069	0.6831555702025748	0.2624107820538814
ERK5	CMGC	130	1982	251	4155	1.085767927281791	0.11871577354890114	0.23188505430016912	0.6056997539047522	0.6347272420654939	0.21774260279010735
MASTL	AGC	115	1982	221	4155	1.0908698649839508	0.1254790060241626	0.23537170200074148	0.6095523564634587	0.6282457522133622	0.21498898545721876
TBK1	Other	115	1982	224	4155	1.0762600007207728	0.10602664335798993	0.2731080630707662	0.7012859585630691	0.5636654778337242	0.15410485663754458
MAK	CMGC	81	1982	156	4155	1.0884984087557248	0.12233929849359533	0.2856894023298471	0.7274276378650728	0.5441058695053655	0.1382102023955913
NUAK2	CAMK	64	1982	122	4155	1.0997336685910903	0.13715417690833245	0.2904175304382972	0.7333042643567005	0.5369771719153645	0.1347157894606843
IKKB	Other	140	1982	278	4155	1.055724542464918	0.07823345869267757	0.3113332098540225	0.7796195255022217	0.5067745507370871	0.10811729255123219
HIPK4	CMGC	112	1982	221	4155	1.062412390245239	0.08734387713739136	0.3151251835741812	0.7826469723194829	0.5015168883199224	0.10643409049236546
JNK2	CMGC	120	1982	238	4155	1.0569919188664367	0.0799643467717939	0.32392573070811154	0.7979633854029089	0.4895545528829662	0.09801703582005908
IKKE	Other	116	1982	231	4155	1.0527212444467742	0.0741234681827332	0.3405827429585146	0.8266617422232534	0.46777736115251756	0.08267216098816896
CDK19	CMGC	134	1982	268	4155	1.0481836528758832	0.06789151447121906	0.3410320718742795	0.8266617422232534	0.46720477648241754	0.08267216098816896
PASK	CAMK	91	1982	180	4155	1.0598301379078372	0.08383305834024024	0.34397241663060346	0.8271717638021654	0.46347638238609334	0.08240429900135128
P38A	CMGC	117	1982	234	4155	1.0481836528758828	0.06789151447121845	0.35400517234817896	0.8445950174921121	0.4509903924774266	0.07335148493107845
NDR2	AGC	80	1982	159	4155	1.0547760028939703	0.07693665407422577	0.3695242129208552	0.8705862446966577	0.4323570993709213	0.060188198997517574
PKCZ	AGC	26	1982	49	4155	1.1123581622356309	0.15362138849710263	0.37064562893026015	0.8705862446966577	0.4310411172005737	0.060188198997517574
MOK	CMGC	74	1982	147	4155	1.055314153915855	0.0776725352638042	0.37499675044293795	0.8740308875708478	0.4259724956611221	0.058473219465653814
TLK1	Other	129	1982	263	4155	1.0282562070037178	0.04019978060217033	0.41388421924188107	0.9573047208419081	0.3831211322530844	0.01894979940654367
YANK2	AGC	138	1982	282	4155	1.0258818730274597	0.036864618850593896	0.41837919390617984	0.9603704223755491	0.37842992116853746	0.01756122387208233
BUB1	Other	104	1982	212	4155	1.028406602821621	0.040410778049111654	0.4267022348232206	0.9721111064017733	0.3698750825476458	0.01228409501242653
PKCH	AGC	22	1982	43	4155	1.0725600168962524	0.10105837840641807	0.44021756357296626	0.9954173265866327	0.3563326341800914	0.0019948040425940127
CDKL5	CMGC	65	1982	134	4155	1.0168945886109313	0.02417013704190087	0.4824034171420235	0.9999999994690388	0.31658962449836014	2.3059350365869304e-10
PKCI	AGC	19	1982	38	4155	1.048183652875883	0.06789151447121876	0.48302411806442364	0.9999999994690388	0.31603118378101414	2.3059350365869304e-10
JNK1	CMGC	130	1982	270	4155	1.0093620361027023	0.013443730448842525	0.4837852492043983	0.9999999994690388	0.3153473775756192	2.3059350365869304e-10
ATR	PIKK	97	1982	201	4155	1.0116797445667725	0.01675266547941755	0.4842247674418225	0.9999999994690388	0.3149530007509093	2.3059350365869304e-10
CDK7	CMGC	117	1982	244	4155	1.0052253064465435	0.007518896491736971	0.5016694924358792	0.9999999994690388	0.2995823085189966	2.3059350365869304e-10
RIPK2	TKL	118	1982	247	4155	1.00150340922554	0.0021673322483822164	0.5150999952687509	0.9999999994690388	0.28810845410846275	2.3059350365869304e-10
NEK2	Other	87	1982	182	4155	1.002109646156064	0.0030403701212507028	0.5171271409929795	0.9999999994690388	0.2864026680408124	2.3059350365869304e-10
RIPK1	TKL	86	1982	180	4155	1.001597712748066	0.002303172843641977	0.5188793373179041	0.9999999994690388	0.284933623326054	2.3059350365869304e-10
TTBK2	CK1	108	1982	227	4155	0.9973906124281531	-0.0037694706562275493	0.5305947888249137	0.9999999994690388	0.2752370197055516	2.3059350365869304e-10
CDK8	CMGC	134	1982	284	4155	0.9891310527138614	-0.01576641457569095	0.5622901750051378	0.9999999994690388	0.2500395049279645	2.3059350365869304e-10
JNK3	CMGC	125	1982	265	4155	0.9888525027130971	-0.016172750317255825	0.5624000800665205	0.9999999994690388	0.24995462615955966	2.3059350365869304e-10
LOK	STE	53	1982	113	4155	0.9832519221667575	-0.024366993380769784	0.5705560827641623	0.9999999994690388	0.24370166020648626	2.3059350365869304e-10
KHS2	STE	42	1982	90	4155	0.9783047426841575	-0.03164415907969568	0.5802016797980074	0.9999999994690388	0.23642101816356967	2.3059350365869304e-10
PKCG	AGC	19	1982	41	4155	0.9714872880313062	-0.04173297670327938	0.5901170206141264	0.9999999994690388	0.22906185892109174	2.3059350365869304e-10
PKCT	AGC	19	1982	41	4155	0.9714872880313062	-0.04173297670327938	0.5901170206141264	0.9999999994690388	0.22906185892109174	2.3059350365869304e-10
RIPK3	TKL	106	1982	227	4155	0.9789204159017058	-0.03073651825649698	0.59501096186236	0.9999999994690388	0.22547503320845683	2.3059350365869304e-10
NEK9	Other	97	1982	208	4155	0.9776328300861601	-0.03263536148274575	0.5968529214023662	0.9999999994690388	0.22413267606144388	2.3059350365869304e-10
CDK1	CMGC	113	1982	243	4155	0.9748539323043192	-0.03674202671937445	0.6114844594168242	0.9999999994690388	0.21361457587263735	2.3059350365869304e-10
HPK1	STE	50	1982	109	4155	0.9616363787852137	-0.05643662053098303	0.621392953284051	0.9999999994690388	0.20663367603631408	2.3059350365869304e-10
LATS1	AGC	86	1982	187	4155	0.9641047502387802	-0.05273819071431984	0.6356664537252867	0.9999999994690388	0.19677070715758196	2.3059350365869304e-10
PKCB	AGC	24	1982	54	4155	0.9317188025563403	-0.1020334869710938	0.6553807968004635	0.9999999994690388	0.18350628795482482	2.3059350365869304e-10
KHS1	STE	46	1982	102	4155	0.9454205496527572	-0.08097187144326394	0.6555457671570945	0.9999999994690388	0.18339698249422853	2.3059350365869304e-10
NEK3	Other	88	1982	193	4155	0.9558565953686808	-0.06513390415956445	0.6623131865345319	0.9999999994690388	0.1789365981432491	2.3059350365869304e-10
PBK	Other	120	1982	262	4155	0.9601682316420301	-0.05864089145771313	0.6673135424412566	0.9999999994690388	0.17567006150044964	2.3059350365869304e-10
PKCA	AGC	20	1982	46	4155	0.9114640459790287	-0.13374234669843169	0.6801185193899625	0.9999999994690388	0.16741539930561306	2.3059350365869304e-10
LKB1	CAMK	122	1982	268	4155	0.9543164600810279	-0.06746033842366728	0.6893479294559426	0.9999999994690388	0.16156152453122657	2.3059350365869304e-10
CK1G1	CK1	115	1982	254	4155	0.9491426778009964	-0.07530312135657195	0.7026903178694296	0.9999999994690388	0.1532360304173117	2.3059350365869304e-10
CAMK2G	CAMK	179	1982	392	4155	0.95726976461624	-0.06300255237973314	0.7095854295896427	0.9999999994690388	0.14899531075494316	2.3059350365869304e-10
CDK14	CMGC	88	1982	197	4155	0.9364483396251544	-0.0947286863478602	0.7206342907020349	0.9999999994690388	0.1422850762290601	2.3059350365869304e-10
AAK1	Other	144	1982	318	4155	0.9492984026045732	-0.07506643937082436	0.7214099708304366	0.9999999994690388	0.14181785945775355	2.3059350365869304e-10
DYRK1A	CMGC	102	1982	228	4155	0.9378485315205268	-0.09257315772202743	0.729167455613425	0.9999999994690388	0.13717272312583048	2.3059350365869304e-10
HIPK1	CMGC	99	1982	223	4155	0.9306742747507839	-0.10365176536947653	0.7482067622285982	0.9999999994690388	0.12597837100376638	2.3059350365869304e-10
GCK	STE	55	1982	127	4155	0.9078756048531269	-0.13943345877628766	0.7528999464258039	0.9999999994690388	0.1232627337624814	2.3059350365869304e-10
IRAK1	TKL	150	1982	335	4155	0.9386719279485518	-0.09130708037803535	0.7640913620664115	0.9999999994690388	0.11685470992030443	2.3059350365869304e-10
EEF2K	Alpha	142	1982	318	4155	0.9361137025683985	-0.09524432130845471	0.767174397158506	0.9999999994690388	0.11510589926585918	2.3059350365869304e-10
PKCD	AGC	16	1982	40	4155	0.8385469223007064	-0.25403658041614363	0.768601516065144	0.9999999994690388	0.11429876322572043	2.3059350365869304e-10
GRK6	AGC	157	1982	351	4155	0.9376913589829837	-0.09281495694171484	0.7725029079521578	0.9999999994690388	0.11209987707439147	2.3059350365869304e-10
PLK4	Other	105	1982	239	4155	0.920998188719395	-0.11872977584340737	0.7824674658575623	0.9999999994690388	0.1065337108962392	2.3059350365869304e-10
IKKA	Other	120	1982	272	4155	0.924867929008132	-0.11268073117060225	0.7853626451559008	0.9999999994690388	0.1049297592770501	2.3059350365869304e-10
HGK	STE	56	1982	133	4155	0.8826809708428488	-0.1800359989723668	0.8087111388522451	0.9999999994690388	0.09220657505588627	2.3059350365869304e-10
MEKK6	STE	98	1982	227	4155	0.9050396297959166	-0.14394712870448806	0.8181775022808804	0.9999999994690388	0.08715246662400676	2.3059350365869304e-10
PRP4	CMGC	109	1982	252	4155	0.9067620489164384	-0.14120408425177144	0.8257953198655428	0.9999999994690388	0.08312758278649106	2.3059350365869304e-10
MST3	STE	34	1982	85	4155	0.8385469223007063	-0.2540365804161438	0.8354653454674208	0.9999999994690388	0.07807155963582658	2.3059350365869304e-10
NLK	CMGC	93	1982	218	4155	0.8943218322702488	-0.1611339991976763	0.8384594355327188	0.9999999994690388	0.07651794361298905	2.3059350365869304e-10
ZAK	TKL	88	1982	207	4155	0.891209289401717	-0.16616382439080923	0.8393761033684024	0.9999999994690388	0.07604339910233232	2.3059350365869304e-10
MEK1	STE	149	1982	342	4155	0.9133296156637809	-0.13079247995251783	0.8446410624306395	0.9999999994690388	0.07332780906603546	2.3059350365869304e-10
HIPK3	CMGC	93	1982	219	4155	0.8902381709356815	-0.16773673402192324	0.8478664306800728	0.9999999994690388	0.07167255928521714	2.3059350365869304e-10
PLK3	Other	125	1982	292	4155	0.8974175110238725	-0.15614875974671139	0.8654069790600163	0.9999999994690388	0.06277960676263272	2.3059350365869304e-10
IRAK4	TKL	84	1982	202	4155	0.8717567014017245	-0.19800254550181576	0.8750718016832897	0.9999999994690388	0.05795631063998726	2.3059350365869304e-10
